
-----------------------------------------------------------------------------
	######## CHOSEN CSMA TECHNIQUE IS : ONE PERSISTENT METHOD ########
-----------------------------------------------------------------------------


18/11/2021 20:59:01 CHANNEL has been initialised

18/11/2021 20:59:01 SENDER-3 starts sending data to RECEIVER3
18/11/2021 20:59:01 SENDER-4 starts sending data to RECEIVER4
18/11/2021 20:59:01 SENDER-3    ||  PACKET 1 SENT TO CHANNEL
18/11/2021 20:59:01 SENDER-4    ||  PACKET 1 SENT TO CHANNEL

18/11/2021 20:59:02 RECEIVER-3  ||  PACKET RECEIVED

18/11/2021 20:59:02 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:02 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:02 SENDER-2    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:03 SENDER-2    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:03 SENDER-3    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:03 RECEIVER-4  ||  PACKET RECEIVED

18/11/2021 20:59:03 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:03 SENDER-2    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:03 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:03 SENDER-4    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:03 RECEIVER-2  ||  PACKET RECEIVED

18/11/2021 20:59:04 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:04 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:04 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:04 SENDER-2    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:04 SENDER-4    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:04 RECEIVER-1  ||  PACKET RECEIVED

18/11/2021 20:59:05 SENDER-2    ||  PACKET 2 SENT TO CHANNEL
18/11/2021 20:59:05 SENDER-3    ||  COLLISION
18/11/2021 20:59:05 SENDER-3    ||  PACKET 2 SENT TO CHANNEL
18/11/2021 20:59:05 SENDER-4    ||  PACKET 2 SENT TO CHANNEL

18/11/2021 20:59:06 RECEIVER-2  ||  PACKET RECEIVED

18/11/2021 20:59:06 SENDER-2    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:06 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:06 SENDER-1    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:06 RECEIVER-1  ||  PACKET RECEIVED

18/11/2021 20:59:06 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:06 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:07 SENDER-2    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:07 SENDER-4    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:07 RECEIVER-3  ||  PACKET RECEIVED

18/11/2021 20:59:07 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:07 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:08 SENDER-2    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:08 SENDER-3    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:08 RECEIVER-4  ||  PACKET RECEIVED

18/11/2021 20:59:08 SENDER-2    ||  PACKET 3 SENT TO CHANNEL
18/11/2021 20:59:08 SENDER-4    ||  PACKET 3 SENT TO CHANNEL

18/11/2021 20:59:09 RECEIVER-2  ||  PACKET RECEIVED

18/11/2021 20:59:09 SENDER-2    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:10 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:10 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:10 SENDER-2    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:10 RECEIVER-1  ||  PACKET RECEIVED

18/11/2021 20:59:10 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:10 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:11 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:11 SENDER-3    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:11 RECEIVER-3  ||  PACKET RECEIVED

18/11/2021 20:59:11 SENDER-2    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:11 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:11 SENDER-3    ||  FOUND CHANNEL BUSY
